a b c d e f g final.parent
Scaffold9876_1407093 L12 SCFLD9876 1407093 Scaffold9876 Scaffold9876_1407093 1 0 abab
Scaffold9876_1676418 L12 SCFLD9876 1676418 Scaffold9876 Scaffold9876_1676418 0 0 aaab
Scaffold9876_1893972 L12 SCFLD9876 1893972 Scaffold9876 Scaffold9876_1893972 1 1 abaa
Scaffold9876_2031777 L12 SCFLD9876 2031777 Scaffold9876 Scaffold9876_2031777 1 0 aaab
Scaffold9876_2088337 L12 SCFLD9876 2088337 Scaffold9876 Scaffold9876_2088337 0 0 abaa
Scaffold9876_209900 L12 SCFLD9876 209900 Scaffold9876 Scaffold9876_209900 0 0 abaa
Scaffold9876_2142976 L12 SCFLD9876 2142976 Scaffold9876 Scaffold9876_2142976 0 0 abaa
Scaffold9876_219717 L12 SCFLD9876 219717 Scaffold9876 Scaffold9876_219717 0 0 abaa
Scaffold9876_2224782 L12 SCFLD9876 2224782 Scaffold9876 Scaffold9876_2224782 0 0 aaab
Scaffold9876_2614580 L12 SCFLD9876 2614580 Scaffold9876 Scaffold9876_2614580 1 0 abaa
Scaffold9876_2629219 L12 SCFLD9876 2629219 Scaffold9876 Scaffold9876_2629219 0 0 aaab
Scaffold9876_2697824 L12 SCFLD9876 2697824 Scaffold9876 Scaffold9876_2697824 0 0 abaa
Scaffold9876_2741686 L12 SCFLD9876 2741686 Scaffold9876 Scaffold9876_2741686 1 1 aaab
Scaffold9876_2741705 L12 SCFLD9876 2741705 Scaffold9876 Scaffold9876_2741705 1 1 abab
Scaffold9876_310080 L12 SCFLD9876 310080 Scaffold9876 Scaffold9876_310080 1 0 bbba
Scaffold9876_351912 L12 SCFLD9876 351912 Scaffold9876 Scaffold9876_351912 0 0 abaa
Scaffold9876_459591 L12 SCFLD9876 459591 Scaffold9876 Scaffold9876_459591 0 0 abab
Scaffold9876_459716 L12 SCFLD9876 459716 Scaffold9876 Scaffold9876_459716 0 0 aaab
Scaffold9876_76614 L12 SCFLD9876 76614 Scaffold9876 Scaffold9876_76614 1 1 abaa
Scaffold9876_841207 L12 SCFLD9876 841207 Scaffold9876 Scaffold9876_841207 0 0 aaab
Scaffold9876_847327 L12 SCFLD9876 847327 Scaffold9876 Scaffold9876_847327 1 1 abab
Scaffold9876_869584 L12 SCFLD9876 869584 Scaffold9876 Scaffold9876_869584 0 0 abab
Scaffold9876_896670 L12 SCFLD9876 896670 Scaffold9876 Scaffold9876_896670 0 0 bbba
Scaffold9876_944314 L12 SCFLD9876 944314 Scaffold9876 Scaffold9876_944314 0 0 abab
Scaffold9876_954883 L12 SCFLD9876 954883 Scaffold9876 Scaffold9876_954883 1 0 abaa
Scaffold9932_1385031 L12 SCFLD9932 1385031 Scaffold9932 Scaffold9932_1385031 1 1 abbb
Scaffold9932_224719 L12 SCFLD9932 224719 Scaffold9932 Scaffold9932_224719 0 0 aaab
Scaffold9932_402813 L12 SCFLD9932 402813 Scaffold9932 Scaffold9932_402813 1 1 bbba
Scaffold9932_402840 L12 SCFLD9932 402840 Scaffold9932 Scaffold9932_402840 1 0 abaa
Scaffold9932_46744 L12 SCFLD9932 46744 Scaffold9932 Scaffold9932_46744 0 0 abaa
Scaffold9932_498184 L12 SCFLD9932 498184 Scaffold9932 Scaffold9932_498184 0 0 abaa
Scaffold9932_503032 L12 SCFLD9932 503032 Scaffold9932 Scaffold9932_503032 0 0 abaa
Scaffold9932_578577 L12 SCFLD9932 578577 Scaffold9932 Scaffold9932_578577 0 0 abaa
Scaffold9932_627820 L12 SCFLD9932 627820 Scaffold9932 Scaffold9932_627820 0 0 abaa
Scaffold9932_799064 L12 SCFLD9932 799064 Scaffold9932 Scaffold9932_799064 0 0 abaa
Scaffold9932_899894 L12 SCFLD9932 899894 Scaffold9932 Scaffold9932_899894 0 0 aaab
Scaffold9932_909258 L12 SCFLD9932 909258 Scaffold9932 Scaffold9932_909258 0 0 aaab
Scaffold9932_917951 L12 SCFLD9932 917951 Scaffold9932 Scaffold9932_917951 1 0 aaab
Scaffold9948_101502 L12 SCFLD9948 101502 Scaffold9948 Scaffold9948_101502 0 0 aaab
Scaffold9948_1133174 L12 SCFLD9948 1133174 Scaffold9948 Scaffold9948_1133174 0 0 abaa
Scaffold9948_1186632 L12 SCFLD9948 1186632 Scaffold9948 Scaffold9948_1186632 1 1 abbb
Scaffold9948_1210379 L12 SCFLD9948 1210379 Scaffold9948 Scaffold9948_1210379 0 0 abaa
Scaffold9948_1292941 L12 SCFLD9948 1292941 Scaffold9948 Scaffold9948_1292941 1 1 aaab
Scaffold9948_1369514 L12 SCFLD9948 1369514 Scaffold9948 Scaffold9948_1369514 1 1 abab
Scaffold9948_1595489 L12 SCFLD9948 1595489 Scaffold9948 Scaffold9948_1595489 0 0 abaa
Scaffold9948_1614148 L12 SCFLD9948 1614148 Scaffold9948 Scaffold9948_1614148 0 0 abaa
Scaffold9948_19434 L12 SCFLD9948 19434 Scaffold9948 Scaffold9948_19434 1 1 abaa
Scaffold9948_19532 L12 SCFLD9948 19532 Scaffold9948 Scaffold9948_19532 1 1 bbba
Scaffold9948_378197 L12 SCFLD9948 378197 Scaffold9948 Scaffold9948_378197 1 0 abab
Scaffold9948_417941 L12 SCFLD9948 417941 Scaffold9948 Scaffold9948_417941 0 0 aaab
Scaffold9948_784653 L12 SCFLD9948 784653 Scaffold9948 Scaffold9948_784653 1 0 aaab
Scaffold9948_784668 L12 SCFLD9948 784668 Scaffold9948 Scaffold9948_784668 0 0 abaa
Scaffold9975_1011762 L12 SCFLD9975 1011762 Scaffold9975 Scaffold9975_1011762 0 0 abab
Scaffold9975_1185415 L12 SCFLD9975 1185415 Scaffold9975 Scaffold9975_1185415 1 1 aaab
Scaffold9975_1185515 L12 SCFLD9975 1185515 Scaffold9975 Scaffold9975_1185515 0 0 abaa
Scaffold9975_1185548 L12 SCFLD9975 1185548 Scaffold9975 Scaffold9975_1185548 1 1 abab
Scaffold9975_1351453 L12 SCFLD9975 1351453 Scaffold9975 Scaffold9975_1351453 0 0 abaa
Scaffold9975_1422353 L12 SCFLD9975 1422353 Scaffold9975 Scaffold9975_1422353 1 1 abbb
Scaffold9975_1422481 L12 SCFLD9975 1422481 Scaffold9975 Scaffold9975_1422481 0 0 aaab
Scaffold9975_1456249 L12 SCFLD9975 1456249 Scaffold9975 Scaffold9975_1456249 0 0 abbb
Scaffold9975_1611967 L12 SCFLD9975 1611967 Scaffold9975 Scaffold9975_1611967 0 0 abab
Scaffold9975_1612067 L12 SCFLD9975 1612067 Scaffold9975 Scaffold9975_1612067 0 0 aaab
Scaffold9975_201162 L12 SCFLD9975 201162 Scaffold9975 Scaffold9975_201162 0 0 aaab
Scaffold9975_43041 L12 SCFLD9975 43041 Scaffold9975 Scaffold9975_43041 1 0 aaab
Scaffold9975_580200 L12 SCFLD9975 580200 Scaffold9975 Scaffold9975_580200 1 0 abbb
Scaffold9975_699244 L12 SCFLD9975 699244 Scaffold9975 Scaffold9975_699244 0 0 aaab
Scaffold9975_728110 L12 SCFLD9975 728110 Scaffold9975 Scaffold9975_728110 0 0 aaab
Scaffold9975_911690 L12 SCFLD9975 911690 Scaffold9975 Scaffold9975_911690 0 0 abaa
Scaffold9982_1037359 L12 SCFLD9982 1037359 Scaffold9982 Scaffold9982_1037359 0 0 abaa
Scaffold9982_1170813 L12 SCFLD9982 1170813 Scaffold9982 Scaffold9982_1170813 0 0 abaa
Scaffold9982_1170944 L12 SCFLD9982 1170944 Scaffold9982 Scaffold9982_1170944 0 0 aaab
Scaffold9982_1250506 L12 SCFLD9982 1250506 Scaffold9982 Scaffold9982_1250506 0 0 aaab
Scaffold9982_1250639 L12 SCFLD9982 1250639 Scaffold9982 Scaffold9982_1250639 0 0 abab
Scaffold9982_1254139 L12 SCFLD9982 1254139 Scaffold9982 Scaffold9982_1254139 0 0 abaa
Scaffold9982_1297546 L12 SCFLD9982 1297546 Scaffold9982 Scaffold9982_1297546 1 0 abaa
Scaffold9982_1297707 L12 SCFLD9982 1297707 Scaffold9982 Scaffold9982_1297707 0 0 abab
Scaffold9982_1305170 L12 SCFLD9982 1305170 Scaffold9982 Scaffold9982_1305170 0 0 abaa
Scaffold9982_1305225 L12 SCFLD9982 1305225 Scaffold9982 Scaffold9982_1305225 0 0 aaab
Scaffold9982_1305249 L12 SCFLD9982 1305249 Scaffold9982 Scaffold9982_1305249 1 1 abab
Scaffold9982_1390981 L12 SCFLD9982 1390981 Scaffold9982 Scaffold9982_1390981 0 0 aaab
Scaffold9982_1465671 L12 SCFLD9982 1465671 Scaffold9982 Scaffold9982_1465671 1 0 bbba
Scaffold9982_1522237 L12 SCFLD9982 1522237 Scaffold9982 Scaffold9982_1522237 0 0 abab
Scaffold9982_1522279 L12 SCFLD9982 1522279 Scaffold9982 Scaffold9982_1522279 0 0 aaab
Scaffold9982_543967 L12 SCFLD9982 543967 Scaffold9982 Scaffold9982_543967 1 1 abbb
Scaffold9982_558765 L12 SCFLD9982 558765 Scaffold9982 Scaffold9982_558765 0 0 abaa
Scaffold9982_622226 L12 SCFLD9982 622226 Scaffold9982 Scaffold9982_622226 1 0 abab
Scaffold9982_648335 L12 SCFLD9982 648335 Scaffold9982 Scaffold9982_648335 1 1 bbba
Scaffold9982_728461 L12 SCFLD9982 728461 Scaffold9982 Scaffold9982_728461 0 0 abab
Scaffold9982_737124 L12 SCFLD9982 737124 Scaffold9982 Scaffold9982_737124 0 0 abaa
Scaffold9982_992039 L12 SCFLD9982 992039 Scaffold9982 Scaffold9982_992039 0 0 abaa
Scaffold10013_1096482 L13 SCFLD10013 1096482 Scaffold10013 Scaffold10013_1096482 1 1 aaab
Scaffold10013_1222123 L13 SCFLD10013 1222123 Scaffold10013 Scaffold10013_1222123 1 0 abaa
Scaffold10013_1290152 L13 SCFLD10013 1290152 Scaffold10013 Scaffold10013_1290152 0 0 aaab
Scaffold10013_339024 L13 SCFLD10013 339024 Scaffold10013 Scaffold10013_339024 1 1 abbb
Scaffold10013_430906 L13 SCFLD10013 430906 Scaffold10013 Scaffold10013_430906 0 0 abab
Scaffold10013_460276 L13 SCFLD10013 460276 Scaffold10013 Scaffold10013_460276 1 1 abab
Scaffold109_121906 L13 SCFLD109 121906 Scaffold109 Scaffold109_121906 1 1 bbba
Scaffold109_178267 L13 SCFLD109 178267 Scaffold109 Scaffold109_178267 0 0 bbba
Scaffold109_440089 L13 SCFLD109 440089 Scaffold109 Scaffold109_440089 1 1 abab
Scaffold109_510842 L13 SCFLD109 510842 Scaffold109 Scaffold109_510842 0 0 abaa
Scaffold109_586168 L13 SCFLD109 586168 Scaffold109 Scaffold109_586168 1 1 abaa
Scaffold114_134654 L13 SCFLD114 134654 Scaffold114 Scaffold114_134654 0 0 abaa
Scaffold114_177166 L13 SCFLD114 177166 Scaffold114 Scaffold114_177166 0 0 abaa
Scaffold114_356960 L13 SCFLD114 356960 Scaffold114 Scaffold114_356960 1 1 abbb
Scaffold114_92071 L13 SCFLD114 92071 Scaffold114 Scaffold114_92071 1 1 aaab
Scaffold1379_25581 L13 SCFLD1379 25581 Scaffold1379 Scaffold1379_25581 1 1 abab
Scaffold1379_25609 L13 SCFLD1379 25609 Scaffold1379 Scaffold1379_25609 1 1 abaa
Scaffold1379_25639 L13 SCFLD1379 25639 Scaffold1379 Scaffold1379_25639 1 1 bbba
Scaffold1959_5237 L13 SCFLD1959 5237 Scaffold1959 Scaffold1959_5237 1 1 bbba
Scaffold202_223225 L13 SCFLD202 223225 Scaffold202 Scaffold202_223225 1 1 bbba
Scaffold202_281522 L13 SCFLD202 281522 Scaffold202 Scaffold202_281522 1 1 abaa
Scaffold2170_16503 L13 SCFLD2170 16503 Scaffold2170 Scaffold2170_16503 1 1 abaa
Scaffold236_237218 L13 SCFLD236 237218 Scaffold236 Scaffold236_237218 0 0 aaab
Scaffold236_354994 L13 SCFLD236 354994 Scaffold236 Scaffold236_354994 0 0 aaab
Scaffold236_406169 L13 SCFLD236 406169 Scaffold236 Scaffold236_406169 1 1 abaa
Scaffold236_50082 L13 SCFLD236 50082 Scaffold236 Scaffold236_50082 1 1 bbba
Scaffold236_50177 L13 SCFLD236 50177 Scaffold236 Scaffold236_50177 0 0 abaa
Scaffold236_50209 L13 SCFLD236 50209 Scaffold236 Scaffold236_50209 0 0 abab
Scaffold236_70488 L13 SCFLD236 70488 Scaffold236 Scaffold236_70488 1 1 abab
Scaffold2497_11585 L13 SCFLD2497 11585 Scaffold2497 Scaffold2497_11585 1 1 abab
Scaffold2497_11598 L13 SCFLD2497 11598 Scaffold2497 Scaffold2497_11598 1 1 abaa
Scaffold2497_9199 L13 SCFLD2497 9199 Scaffold2497 Scaffold2497_9199 1 1 aaab
Scaffold250_314203 L13 SCFLD250 314203 Scaffold250 Scaffold250_314203 0 0 abaa
Scaffold250_378306 L13 SCFLD250 378306 Scaffold250 Scaffold250_378306 0 0 abaa
Scaffold250_382216 L13 SCFLD250 382216 Scaffold250 Scaffold250_382216 1 1 abaa
Scaffold250_81899 L13 SCFLD250 81899 Scaffold250 Scaffold250_81899 0 0 abaa
Scaffold250_93520 L13 SCFLD250 93520 Scaffold250 Scaffold250_93520 0 0 abaa
Scaffold2592_10244 L13 SCFLD2592 10244 Scaffold2592 Scaffold2592_10244 1 1 aaab
Scaffold2592_1578 L13 SCFLD2592 1578 Scaffold2592 Scaffold2592_1578 0 0 aaab
Scaffold26_1188 L13 SCFLD26 1188 Scaffold26 Scaffold26_1188 1 1 abab
Scaffold26_172131 L13 SCFLD26 172131 Scaffold26 Scaffold26_172131 0 0 abaa
Scaffold26_227488 L13 SCFLD26 227488 Scaffold26 Scaffold26_227488 0 0 abaa
Scaffold26_279978 L13 SCFLD26 279978 Scaffold26 Scaffold26_279978 0 0 abaa
Scaffold26_311102 L13 SCFLD26 311102 Scaffold26 Scaffold26_311102 1 1 abaa
Scaffold26_353911 L13 SCFLD26 353911 Scaffold26 Scaffold26_353911 0 0 abaa
Scaffold26_686972 L13 SCFLD26 686972 Scaffold26 Scaffold26_686972 1 0 aaab
Scaffold26_9393 L13 SCFLD26 9393 Scaffold26 Scaffold26_9393 1 1 bbba
Scaffold268_315970 L13 SCFLD268 315970 Scaffold268 Scaffold268_315970 0 0 aaab
Scaffold268_337194 L13 SCFLD268 337194 Scaffold268 Scaffold268_337194 1 1 aaab
Scaffold300_238147 L13 SCFLD300 238147 Scaffold300 Scaffold300_238147 1 1 abbb
Scaffold3116_980 L13 SCFLD3116 980 Scaffold3116 Scaffold3116_980 1 1 bbba
Scaffold318_268936 L13 SCFLD318 268936 Scaffold318 Scaffold318_268936 1 1 abbb
Scaffold3420_3806 L13 SCFLD3420 3806 Scaffold3420 Scaffold3420_3806 1 1 abaa
Scaffold3420_3831 L13 SCFLD3420 3831 Scaffold3420 Scaffold3420_3831 1 1 aaab
Scaffold3632_8517 L13 SCFLD3632 8517 Scaffold3632 Scaffold3632_8517 1 1 abab
Scaffold367_219394 L13 SCFLD367 219394 Scaffold367 Scaffold367_219394 1 1 abbb
Scaffold367_219498 L13 SCFLD367 219498 Scaffold367 Scaffold367_219498 1 1 abab
Scaffold367_35993 L13 SCFLD367 35993 Scaffold367 Scaffold367_35993 0 0 abaa
Scaffold378_50076 L13 SCFLD378 50076 Scaffold378 Scaffold378_50076 1 1 abaa
Scaffold378_68731 L13 SCFLD378 68731 Scaffold378 Scaffold378_68731 1 1 abab
Scaffold382_12530 L13 SCFLD382 12530 Scaffold382 Scaffold382_12530 1 1 abab
Scaffold382_186422 L13 SCFLD382 186422 Scaffold382 Scaffold382_186422 1 1 bbba
Scaffold382_45968 L13 SCFLD382 45968 Scaffold382 Scaffold382_45968 1 1 abaa
Scaffold398_227945 L13 SCFLD398 227945 Scaffold398 Scaffold398_227945 0 0 aaab
Scaffold398_245548 L13 SCFLD398 245548 Scaffold398 Scaffold398_245548 1 1 abab
Scaffold398_253617 L13 SCFLD398 253617 Scaffold398 Scaffold398_253617 1 1 abaa
Scaffold398_253632 L13 SCFLD398 253632 Scaffold398 Scaffold398_253632 0 0 abab
Scaffold398_257286 L13 SCFLD398 257286 Scaffold398 Scaffold398_257286 0 0 abab
Scaffold398_258655 L13 SCFLD398 258655 Scaffold398 Scaffold398_258655 0 0 bbba
Scaffold398_271602 L13 SCFLD398 271602 Scaffold398 Scaffold398_271602 1 1 bbba
Scaffold399_1091 L13 SCFLD399 1091 Scaffold399 Scaffold399_1091 0 0 abaa
Scaffold399_110677 L13 SCFLD399 110677 Scaffold399 Scaffold399_110677 1 1 abbb
Scaffold399_110825 L13 SCFLD399 110825 Scaffold399 Scaffold399_110825 0 0 aaab
Scaffold399_1114 L13 SCFLD399 1114 Scaffold399 Scaffold399_1114 1 1 abab
Scaffold399_152046 L13 SCFLD399 152046 Scaffold399 Scaffold399_152046 0 0 bbba
Scaffold399_209129 L13 SCFLD399 209129 Scaffold399 Scaffold399_209129 0 0 aaab
Scaffold399_237104 L13 SCFLD399 237104 Scaffold399 Scaffold399_237104 1 1 bbba
Scaffold399_24000 L13 SCFLD399 24000 Scaffold399 Scaffold399_24000 0 0 bbba
Scaffold399_82335 L13 SCFLD399 82335 Scaffold399 Scaffold399_82335 0 0 abaa
Scaffold399_82339 L13 SCFLD399 82339 Scaffold399 Scaffold399_82339 0 0 aaab
Scaffold407_168367 L13 SCFLD407 168367 Scaffold407 Scaffold407_168367 1 1 abbb
Scaffold407_53970 L13 SCFLD407 53970 Scaffold407 Scaffold407_53970 0 0 abaa
Scaffold407_94083 L13 SCFLD407 94083 Scaffold407 Scaffold407_94083 0 0 abaa
Scaffold424_185419 L13 SCFLD424 185419 Scaffold424 Scaffold424_185419 1 1 abaa
Scaffold424_185506 L13 SCFLD424 185506 Scaffold424 Scaffold424_185506 1 1 abab
Scaffold458_76671 L13 SCFLD458 76671 Scaffold458 Scaffold458_76671 1 1 abab
Scaffold488_176120 L13 SCFLD488 176120 Scaffold488 Scaffold488_176120 1 1 abaa
Scaffold517_155962 L13 SCFLD517 155962 Scaffold517 Scaffold517_155962 0 0 abaa
Scaffold517_159809 L13 SCFLD517 159809 Scaffold517 Scaffold517_159809 0 0 abaa
Scaffold517_24963 L13 SCFLD517 24963 Scaffold517 Scaffold517_24963 0 0 abaa
Scaffold517_35172 L13 SCFLD517 35172 Scaffold517 Scaffold517_35172 0 0 aaab
Scaffold517_35189 L13 SCFLD517 35189 Scaffold517 Scaffold517_35189 0 0 abaa
Scaffold517_6739 L13 SCFLD517 6739 Scaffold517 Scaffold517_6739 1 1 aaab
Scaffold517_6904 L13 SCFLD517 6904 Scaffold517 Scaffold517_6904 1 1 abab
Scaffold517_73737 L13 SCFLD517 73737 Scaffold517 Scaffold517_73737 1 1 abaa
Scaffold52_121676 L13 SCFLD52 121676 Scaffold52 Scaffold52_121676 1 1 aaab
Scaffold52_150136 L13 SCFLD52 150136 Scaffold52 Scaffold52_150136 1 1 abbb
Scaffold52_150142 L13 SCFLD52 150142 Scaffold52 Scaffold52_150142 1 1 abab
Scaffold52_305746 L13 SCFLD52 305746 Scaffold52 Scaffold52_305746 0 0 aaab
Scaffold52_89542 L13 SCFLD52 89542 Scaffold52 Scaffold52_89542 0 0 aaab
Scaffold552_83961 L13 SCFLD552 83961 Scaffold552 Scaffold552_83961 1 1 abaa
Scaffold556_101281 L13 SCFLD556 101281 Scaffold556 Scaffold556_101281 0 0 aaab
Scaffold556_101287 L13 SCFLD556 101287 Scaffold556 Scaffold556_101287 0 0 abaa
Scaffold556_65446 L13 SCFLD556 65446 Scaffold556 Scaffold556_65446 0 0 aaab
Scaffold556_65588 L13 SCFLD556 65588 Scaffold556 Scaffold556_65588 1 1 abaa
Scaffold556_65607 L13 SCFLD556 65607 Scaffold556 Scaffold556_65607 1 1 abab
Scaffold556_7599 L13 SCFLD556 7599 Scaffold556 Scaffold556_7599 1 1 bbba
Scaffold556_83379 L13 SCFLD556 83379 Scaffold556 Scaffold556_83379 0 0 abab
Scaffold565_31346 L13 SCFLD565 31346 Scaffold565 Scaffold565_31346 1 1 abaa
Scaffold57_113809 L13 SCFLD57 113809 Scaffold57 Scaffold57_113809 1 1 abbb
Scaffold57_283345 L13 SCFLD57 283345 Scaffold57 Scaffold57_283345 0 0 aaab
Scaffold57_395512 L13 SCFLD57 395512 Scaffold57 Scaffold57_395512 1 1 bbba
Scaffold57_520111 L13 SCFLD57 520111 Scaffold57 Scaffold57_520111 0 0 abab
Scaffold57_534588 L13 SCFLD57 534588 Scaffold57 Scaffold57_534588 0 0 abaa
Scaffold57_568276 L13 SCFLD57 568276 Scaffold57 Scaffold57_568276 0 0 abaa
Scaffold57_618608 L13 SCFLD57 618608 Scaffold57 Scaffold57_618608 0 0 aaab
Scaffold57_618613 L13 SCFLD57 618613 Scaffold57 Scaffold57_618613 1 1 abab
Scaffold641_60335 L13 SCFLD641 60335 Scaffold641 Scaffold641_60335 1 1 abaa
Scaffold641_99437 L13 SCFLD641 99437 Scaffold641 Scaffold641_99437 0 0 abaa
Scaffold6535_2884 L13 SCFLD6535 2884 Scaffold6535 Scaffold6535_2884 0 0 aaab
Scaffold6535_8949 L13 SCFLD6535 8949 Scaffold6535 Scaffold6535_8949 1 1 aaab
Scaffold661_111519 L13 SCFLD661 111519 Scaffold661 Scaffold661_111519 0 0 aaab
Scaffold661_111534 L13 SCFLD661 111534 Scaffold661 Scaffold661_111534 0 0 abaa
Scaffold661_111543 L13 SCFLD661 111543 Scaffold661 Scaffold661_111543 1 1 abab
Scaffold661_113324 L13 SCFLD661 113324 Scaffold661 Scaffold661_113324 0 0 aaab
Scaffold661_113347 L13 SCFLD661 113347 Scaffold661 Scaffold661_113347 1 1 abaa
Scaffold661_133919 L13 SCFLD661 133919 Scaffold661 Scaffold661_133919 0 0 aaab
Scaffold661_6332 L13 SCFLD661 6332 Scaffold661 Scaffold661_6332 0 0 abaa
Scaffold661_67407 L13 SCFLD661 67407 Scaffold661 Scaffold661_67407 1 1 aaab
Scaffold715_70789 L13 SCFLD715 70789 Scaffold715 Scaffold715_70789 0 0 abaa
Scaffold715_87882 L13 SCFLD715 87882 Scaffold715 Scaffold715_87882 1 1 aaab
Scaffold715_87922 L13 SCFLD715 87922 Scaffold715 Scaffold715_87922 1 1 abbb
Scaffold72_118185 L13 SCFLD72 118185 Scaffold72 Scaffold72_118185 0 0 abaa
Scaffold72_201332 L13 SCFLD72 201332 Scaffold72 Scaffold72_201332 0 0 abaa
Scaffold72_39684 L13 SCFLD72 39684 Scaffold72 Scaffold72_39684 1 1 abbb
Scaffold72_401347 L13 SCFLD72 401347 Scaffold72 Scaffold72_401347 0 0 aaab
Scaffold72_443702 L13 SCFLD72 443702 Scaffold72 Scaffold72_443702 1 1 aaab
Scaffold72_520812 L13 SCFLD72 520812 Scaffold72 Scaffold72_520812 0 0 abbb
Scaffold72_74405 L13 SCFLD72 74405 Scaffold72 Scaffold72_74405 0 0 abaa
Scaffold733_63543 L13 SCFLD733 63543 Scaffold733 Scaffold733_63543 0 0 abaa
Scaffold733_95077 L13 SCFLD733 95077 Scaffold733 Scaffold733_95077 1 1 abaa
Scaffold826_26933 L13 SCFLD826 26933 Scaffold826 Scaffold826_26933 1 1 abbb
Scaffold826_31587 L13 SCFLD826 31587 Scaffold826 Scaffold826_31587 1 1 aaab
Scaffold85_168760 L13 SCFLD85 168760 Scaffold85 Scaffold85_168760 1 1 bbba
Scaffold85_461561 L13 SCFLD85 461561 Scaffold85 Scaffold85_461561 1 1 abbb
Scaffold90_324035 L13 SCFLD90 324035 Scaffold90 Scaffold90_324035 1 1 abaa
Scaffold90_56877 L13 SCFLD90 56877 Scaffold90 Scaffold90_56877 1 1 aaab
Scaffold914_18068 L13 SCFLD914 18068 Scaffold914 Scaffold914_18068 0 0 bbba
Scaffold914_34836 L13 SCFLD914 34836 Scaffold914 Scaffold914_34836 1 1 bbba
Scaffold9972_100254 L13 SCFLD9972 100254 Scaffold9972 Scaffold9972_100254 0 0 aaab
Scaffold9972_1060317 L13 SCFLD9972 1060317 Scaffold9972 Scaffold9972_1060317 0 0 abaa
Scaffold9972_1110616 L13 SCFLD9972 1110616 Scaffold9972 Scaffold9972_1110616 0 0 aaab
Scaffold9972_1150936 L13 SCFLD9972 1150936 Scaffold9972 Scaffold9972_1150936 0 0 aaab
Scaffold9972_1195871 L13 SCFLD9972 1195871 Scaffold9972 Scaffold9972_1195871 1 0 aaab
Scaffold9972_1250830 L13 SCFLD9972 1250830 Scaffold9972 Scaffold9972_1250830 0 0 aaab
Scaffold9972_1343962 L13 SCFLD9972 1343962 Scaffold9972 Scaffold9972_1343962 1 1 abab
Scaffold9972_1344010 L13 SCFLD9972 1344010 Scaffold9972 Scaffold9972_1344010 1 0 abaa
Scaffold9972_498101 L13 SCFLD9972 498101 Scaffold9972 Scaffold9972_498101 1 1 aaab
Scaffold9972_814570 L13 SCFLD9972 814570 Scaffold9972 Scaffold9972_814570 1 1 abbb
Scaffold10015_1029404 L13 SCFLD10015 1029404 Scaffold10015 Scaffold10015_1029404 1 0 aaab
Scaffold10015_110770 L13 SCFLD10015 110770 Scaffold10015 Scaffold10015_110770 1 1 abaa
Scaffold10015_1159410 L13 SCFLD10015 1159410 Scaffold10015 Scaffold10015_1159410 1 1 abab
Scaffold10015_1204902 L13 SCFLD10015 1204902 Scaffold10015 Scaffold10015_1204902 0 0 abaa
Scaffold10015_1289473 L13 SCFLD10015 1289473 Scaffold10015 Scaffold10015_1289473 0 0 abaa
Scaffold10015_1314455 L13 SCFLD10015 1314455 Scaffold10015 Scaffold10015_1314455 0 0 abaa
Scaffold10015_1326975 L13 SCFLD10015 1326975 Scaffold10015 Scaffold10015_1326975 1 1 abaa
Scaffold10015_1401034 L13 SCFLD10015 1401034 Scaffold10015 Scaffold10015_1401034 0 0 abaa
Scaffold10015_140233 L13 SCFLD10015 140233 Scaffold10015 Scaffold10015_140233 1 1 abab
Scaffold10015_224271 L13 SCFLD10015 224271 Scaffold10015 Scaffold10015_224271 1 1 aaab
Scaffold10015_226979 L13 SCFLD10015 226979 Scaffold10015 Scaffold10015_226979 0 0 aaab
Scaffold10015_29014 L13 SCFLD10015 29014 Scaffold10015 Scaffold10015_29014 0 0 abaa
Scaffold10015_935002 L13 SCFLD10015 935002 Scaffold10015 Scaffold10015_935002 0 0 abaa
Scaffold400_179524 L13 SCFLD400 179524 Scaffold400 Scaffold400_179524 0 0 abab
Scaffold400_179574 L13 SCFLD400 179574 Scaffold400 Scaffold400_179574 0 0 aaab
Scaffold400_194627 L13 SCFLD400 194627 Scaffold400 Scaffold400_194627 0 0 abaa
Scaffold400_204943 L13 SCFLD400 204943 Scaffold400 Scaffold400_204943 0 0 abaa
Scaffold400_214397 L13 SCFLD400 214397 Scaffold400 Scaffold400_214397 0 0 abab
Scaffold400_214400 L13 SCFLD400 214400 Scaffold400 Scaffold400_214400 0 0 abaa
Scaffold400_214408 L13 SCFLD400 214408 Scaffold400 Scaffold400_214408 1 1 bbba
Scaffold400_233289 L13 SCFLD400 233289 Scaffold400 Scaffold400_233289 0 0 abaa
Scaffold400_248578 L13 SCFLD400 248578 Scaffold400 Scaffold400_248578 0 0 abaa
Scaffold400_263730 L13 SCFLD400 263730 Scaffold400 Scaffold400_263730 0 0 abaa
Scaffold400_263753 L13 SCFLD400 263753 Scaffold400 Scaffold400_263753 1 1 abab
Scaffold400_263794 L13 SCFLD400 263794 Scaffold400 Scaffold400_263794 0 0 aaab
Scaffold400_269506 L13 SCFLD400 269506 Scaffold400 Scaffold400_269506 0 0 abaa
Scaffold400_292060 L13 SCFLD400 292060 Scaffold400 Scaffold400_292060 0 0 aaab
Scaffold400_292064 L13 SCFLD400 292064 Scaffold400 Scaffold400_292064 0 0 abaa
