"a" "b" "c" "d" "e"
"862" "L11" "SCFLD9900" 909982 "Scaffold9900" "Scaffold9900_909982"
"863" "L11" "SCFLD9942" 1091623 "Scaffold9942" "Scaffold9942_1091623"
"864" "L11" "SCFLD9942" 1475163 "Scaffold9942" "Scaffold9942_1475163"
"865" "L11" "SCFLD9942" 1539595 "Scaffold9942" "Scaffold9942_1539595"
"866" "L11" "SCFLD9942" 1818198 "Scaffold9942" "Scaffold9942_1818198"
"867" "L11" "SCFLD9942" 2027309 "Scaffold9942" "Scaffold9942_2027309"
"868" "L11" "SCFLD9942" 2043215 "Scaffold9942" "Scaffold9942_2043215"
"869" "L11" "SCFLD9942" 2206822 "Scaffold9942" "Scaffold9942_2206822"
"870" "L11" "SCFLD9942" 2218428 "Scaffold9942" "Scaffold9942_2218428"
"871" "L11" "SCFLD9942" 2597403 "Scaffold9942" "Scaffold9942_2597403"
"872" "L11" "SCFLD9942" 2735793 "Scaffold9942" "Scaffold9942_2735793"
"873" "L11" "SCFLD9942" 2912367 "Scaffold9942" "Scaffold9942_2912367"
"874" "L11" "SCFLD9942" 3107467 "Scaffold9942" "Scaffold9942_3107467"
"875" "L11" "SCFLD9942" 3349024 "Scaffold9942" "Scaffold9942_3349024"
"876" "L11" "SCFLD9942" 3392652 "Scaffold9942" "Scaffold9942_3392652"
"877" "L11" "SCFLD9942" 3439760 "Scaffold9942" "Scaffold9942_3439760"
"878" "L11" "SCFLD9942" 3540 "Scaffold9942" "Scaffold9942_3540"
"879" "L11" "SCFLD9942" 3773936 "Scaffold9942" "Scaffold9942_3773936"
"880" "L11" "SCFLD9942" 4101104 "Scaffold9942" "Scaffold9942_4101104"
"881" "L11" "SCFLD9942" 4143366 "Scaffold9942" "Scaffold9942_4143366"
"882" "L11" "SCFLD9942" 4158593 "Scaffold9942" "Scaffold9942_4158593"
"883" "L11" "SCFLD9942" 4158594 "Scaffold9942" "Scaffold9942_4158594"
"884" "L11" "SCFLD9942" 4158716 "Scaffold9942" "Scaffold9942_4158716"
"885" "L11" "SCFLD9942" 4510290 "Scaffold9942" "Scaffold9942_4510290"
"886" "L11" "SCFLD9942" 4852872 "Scaffold9942" "Scaffold9942_4852872"
"887" "L11" "SCFLD9942" 4859549 "Scaffold9942" "Scaffold9942_4859549"
"888" "L12" "SCFLD111" 44802 "Scaffold111" "Scaffold111_44802"
"889" "L12" "SCFLD125" 159139 "Scaffold125" "Scaffold125_159139"
"890" "L12" "SCFLD125" 350970 "Scaffold125" "Scaffold125_350970"
"891" "L12" "SCFLD125" 83608 "Scaffold125" "Scaffold125_83608"
"892" "L12" "SCFLD1545" 14011 "Scaffold1545" "Scaffold1545_14011"
"893" "L12" "SCFLD2026" 5409 "Scaffold2026" "Scaffold2026_5409"
"894" "L12" "SCFLD2239" 8721 "Scaffold2239" "Scaffold2239_8721"
"895" "L12" "SCFLD2534" 8522 "Scaffold2534" "Scaffold2534_8522"
"896" "L12" "SCFLD2686" 7271 "Scaffold2686" "Scaffold2686_7271"
"897" "L12" "SCFLD271" 107924 "Scaffold271" "Scaffold271_107924"
"898" "L12" "SCFLD271" 12691 "Scaffold271" "Scaffold271_12691"
"899" "L12" "SCFLD271" 2285 "Scaffold271" "Scaffold271_2285"
"900" "L12" "SCFLD271" 7909 "Scaffold271" "Scaffold271_7909"
"901" "L12" "SCFLD304" 212878 "Scaffold304" "Scaffold304_212878"
"902" "L12" "SCFLD355" 284539 "Scaffold355" "Scaffold355_284539"
"903" "L12" "SCFLD356" 166873 "Scaffold356" "Scaffold356_166873"
"904" "L12" "SCFLD356" 271094 "Scaffold356" "Scaffold356_271094"
"905" "L12" "SCFLD356" 318211 "Scaffold356" "Scaffold356_318211"
"906" "L12" "SCFLD356" 333612 "Scaffold356" "Scaffold356_333612"
"907" "L12" "SCFLD383" 193335 "Scaffold383" "Scaffold383_193335"
"908" "L12" "SCFLD383" 193365 "Scaffold383" "Scaffold383_193365"
"909" "L12" "SCFLD383" 33763 "Scaffold383" "Scaffold383_33763"
"910" "L12" "SCFLD383" 99022 "Scaffold383" "Scaffold383_99022"
"911" "L12" "SCFLD440" 169299 "Scaffold440" "Scaffold440_169299"
"912" "L12" "SCFLD440" 185310 "Scaffold440" "Scaffold440_185310"
"913" "L12" "SCFLD440" 185315 "Scaffold440" "Scaffold440_185315"
"914" "L12" "SCFLD440" 250122 "Scaffold440" "Scaffold440_250122"
"915" "L12" "SCFLD440" 253970 "Scaffold440" "Scaffold440_253970"
"916" "L12" "SCFLD440" 30919 "Scaffold440" "Scaffold440_30919"
"917" "L12" "SCFLD462" 165104 "Scaffold462" "Scaffold462_165104"
"918" "L12" "SCFLD462" 71202 "Scaffold462" "Scaffold462_71202"
"919" "L12" "SCFLD493" 29429 "Scaffold493" "Scaffold493_29429"
"920" "L12" "SCFLD531" 102252 "Scaffold531" "Scaffold531_102252"
"921" "L12" "SCFLD531" 104968 "Scaffold531" "Scaffold531_104968"
"922" "L12" "SCFLD531" 104975 "Scaffold531" "Scaffold531_104975"
"923" "L12" "SCFLD531" 122658 "Scaffold531" "Scaffold531_122658"
"924" "L12" "SCFLD531" 186819 "Scaffold531" "Scaffold531_186819"
"925" "L12" "SCFLD531" 186827 "Scaffold531" "Scaffold531_186827"
"926" "L12" "SCFLD531" 186859 "Scaffold531" "Scaffold531_186859"
"927" "L12" "SCFLD531" 37545 "Scaffold531" "Scaffold531_37545"
"928" "L12" "SCFLD531" 94933 "Scaffold531" "Scaffold531_94933"
"929" "L12" "SCFLD541" 14430 "Scaffold541" "Scaffold541_14430"
"930" "L12" "SCFLD541" 176678 "Scaffold541" "Scaffold541_176678"
"931" "L12" "SCFLD5614" 1348 "Scaffold5614" "Scaffold5614_1348"
"932" "L12" "SCFLD621" 113591 "Scaffold621" "Scaffold621_113591"
"933" "L12" "SCFLD65" 131013 "Scaffold65" "Scaffold65_131013"
"934" "L12" "SCFLD65" 237978 "Scaffold65" "Scaffold65_237978"
"935" "L12" "SCFLD65" 596453 "Scaffold65" "Scaffold65_596453"
"936" "L12" "SCFLD65" 627174 "Scaffold65" "Scaffold65_627174"
"937" "L12" "SCFLD65" 633613 "Scaffold65" "Scaffold65_633613"
"938" "L12" "SCFLD656" 79135 "Scaffold656" "Scaffold656_79135"
"939" "L12" "SCFLD656" 82726 "Scaffold656" "Scaffold656_82726"
"940" "L12" "SCFLD6572" 1059 "Scaffold6572" "Scaffold6572_1059"
"941" "L12" "SCFLD6731" 6277 "Scaffold6731" "Scaffold6731_6277"
"942" "L12" "SCFLD772" 1367 "Scaffold772" "Scaffold772_1367"
"943" "L12" "SCFLD772" 18423 "Scaffold772" "Scaffold772_18423"
"944" "L12" "SCFLD772" 18433 "Scaffold772" "Scaffold772_18433"
"945" "L12" "SCFLD772" 37721 "Scaffold772" "Scaffold772_37721"
"946" "L12" "SCFLD772" 56396 "Scaffold772" "Scaffold772_56396"
"947" "L12" "SCFLD772" 56537 "Scaffold772" "Scaffold772_56537"
"948" "L12" "SCFLD772" 63399 "Scaffold772" "Scaffold772_63399"
"949" "L12" "SCFLD787" 7968 "Scaffold787" "Scaffold787_7968"
"950" "L12" "SCFLD787" 8088 "Scaffold787" "Scaffold787_8088"
"951" "L12" "SCFLD864" 28300 "Scaffold864" "Scaffold864_28300"
"952" "L12" "SCFLD864" 28336 "Scaffold864" "Scaffold864_28336"
"953" "L12" "SCFLD953" 93941 "Scaffold953" "Scaffold953_93941"
"954" "L12" "SCFLD9889" 1213750 "Scaffold9889" "Scaffold9889_1213750"
"955" "L12" "SCFLD9889" 1455692 "Scaffold9889" "Scaffold9889_1455692"
"956" "L12" "SCFLD9889" 2322760 "Scaffold9889" "Scaffold9889_2322760"
"957" "L12" "SCFLD9889" 534378 "Scaffold9889" "Scaffold9889_534378"
"958" "L12" "SCFLD9889" 765288 "Scaffold9889" "Scaffold9889_765288"
"959" "L12" "SCFLD9889" 792227 "Scaffold9889" "Scaffold9889_792227"
"960" "L12" "SCFLD9889" 837981 "Scaffold9889" "Scaffold9889_837981"
"961" "L12" "SCFLD9889" 838031 "Scaffold9889" "Scaffold9889_838031"
"962" "L12" "SCFLD9889" 931897 "Scaffold9889" "Scaffold9889_931897"
"963" "L12" "SCFLD9946" 1057408 "Scaffold9946" "Scaffold9946_1057408"
"964" "L12" "SCFLD9946" 1169788 "Scaffold9946" "Scaffold9946_1169788"
"965" "L12" "SCFLD9946" 431223 "Scaffold9946" "Scaffold9946_431223"
"966" "L12" "SCFLD9946" 451060 "Scaffold9946" "Scaffold9946_451060"
"967" "L12" "SCFLD9946" 915666 "Scaffold9946" "Scaffold9946_915666"
"968" "L12" "SCFLD9946" 955240 "Scaffold9946" "Scaffold9946_955240"
"969" "L12" "SCFLD9983" 272879 "Scaffold9983" "Scaffold9983_272879"
"970" "L12" "SCFLD9983" 307590 "Scaffold9983" "Scaffold9983_307590"
"971" "L12" "SCFLD9983" 872030 "Scaffold9983" "Scaffold9983_872030"
"972" "L12" "SCFLD9983" 978690 "Scaffold9983" "Scaffold9983_978690"
"973" "L12" "SCFLD10009" 107213 "Scaffold10009" "Scaffold10009_107213"
"974" "L12" "SCFLD10009" 1129111 "Scaffold10009" "Scaffold10009_1129111"
"975" "L12" "SCFLD10009" 17955 "Scaffold10009" "Scaffold10009_17955"
"976" "L12" "SCFLD10009" 249780 "Scaffold10009" "Scaffold10009_249780"
"977" "L12" "SCFLD10009" 275254 "Scaffold10009" "Scaffold10009_275254"
"978" "L12" "SCFLD10009" 384465 "Scaffold10009" "Scaffold10009_384465"
"979" "L12" "SCFLD10009" 401027 "Scaffold10009" "Scaffold10009_401027"
"980" "L12" "SCFLD10009" 438695 "Scaffold10009" "Scaffold10009_438695"
"981" "L12" "SCFLD10009" 46167 "Scaffold10009" "Scaffold10009_46167"
"982" "L12" "SCFLD10009" 46181 "Scaffold10009" "Scaffold10009_46181"
"983" "L12" "SCFLD10009" 46201 "Scaffold10009" "Scaffold10009_46201"
"984" "L12" "SCFLD10009" 482302 "Scaffold10009" "Scaffold10009_482302"
"985" "L12" "SCFLD10009" 506573 "Scaffold10009" "Scaffold10009_506573"
"986" "L12" "SCFLD10009" 712514 "Scaffold10009" "Scaffold10009_712514"
"987" "L12" "SCFLD10009" 76973 "Scaffold10009" "Scaffold10009_76973"
"988" "L12" "SCFLD10009" 769974 "Scaffold10009" "Scaffold10009_769974"
"989" "L12" "SCFLD10009" 769996 "Scaffold10009" "Scaffold10009_769996"
"990" "L12" "SCFLD10009" 77066 "Scaffold10009" "Scaffold10009_77066"
"991" "L12" "SCFLD144" 122403 "Scaffold144" "Scaffold144_122403"
"992" "L12" "SCFLD144" 16305 "Scaffold144" "Scaffold144_16305"
"993" "L12" "SCFLD144" 27064 "Scaffold144" "Scaffold144_27064"
"994" "L12" "SCFLD144" 288803 "Scaffold144" "Scaffold144_288803"
"995" "L12" "SCFLD144" 480840 "Scaffold144" "Scaffold144_480840"
"996" "L12" "SCFLD144" 490485 "Scaffold144" "Scaffold144_490485"
"997" "L12" "SCFLD144" 510074 "Scaffold144" "Scaffold144_510074"
"998" "L12" "SCFLD144" 510075 "Scaffold144" "Scaffold144_510075"
"999" "L12" "SCFLD144" 519977 "Scaffold144" "Scaffold144_519977"
"1000" "L12" "SCFLD144" 86329 "Scaffold144" "Scaffold144_86329"
"1001" "L12" "SCFLD219" 102476 "Scaffold219" "Scaffold219_102476"
"1002" "L12" "SCFLD219" 123080 "Scaffold219" "Scaffold219_123080"
"1003" "L12" "SCFLD219" 134045 "Scaffold219" "Scaffold219_134045"
"1004" "L12" "SCFLD219" 162931 "Scaffold219" "Scaffold219_162931"
"1005" "L12" "SCFLD219" 181283 "Scaffold219" "Scaffold219_181283"
"1006" "L12" "SCFLD219" 199186 "Scaffold219" "Scaffold219_199186"
"1007" "L12" "SCFLD219" 348086 "Scaffold219" "Scaffold219_348086"
"1008" "L12" "SCFLD219" 348118 "Scaffold219" "Scaffold219_348118"
"1009" "L12" "SCFLD219" 348121 "Scaffold219" "Scaffold219_348121"
"1010" "L12" "SCFLD219" 410415 "Scaffold219" "Scaffold219_410415"
"1011" "L12" "SCFLD219" 42702 "Scaffold219" "Scaffold219_42702"
"1012" "L12" "SCFLD219" 54139 "Scaffold219" "Scaffold219_54139"
"1013" "L12" "SCFLD219" 74961 "Scaffold219" "Scaffold219_74961"
"1014" "L12" "SCFLD23" 162247 "Scaffold23" "Scaffold23_162247"
"1015" "L12" "SCFLD23" 162284 "Scaffold23" "Scaffold23_162284"
"1016" "L12" "SCFLD23" 17922 "Scaffold23" "Scaffold23_17922"
"1017" "L12" "SCFLD23" 18033 "Scaffold23" "Scaffold23_18033"
"1018" "L12" "SCFLD23" 229662 "Scaffold23" "Scaffold23_229662"
"1019" "L12" "SCFLD23" 252928 "Scaffold23" "Scaffold23_252928"
"1020" "L12" "SCFLD23" 353852 "Scaffold23" "Scaffold23_353852"
"1021" "L12" "SCFLD23" 367250 "Scaffold23" "Scaffold23_367250"
"1022" "L12" "SCFLD23" 525512 "Scaffold23" "Scaffold23_525512"
"1023" "L12" "SCFLD23" 525635 "Scaffold23" "Scaffold23_525635"
"1024" "L12" "SCFLD23" 652094 "Scaffold23" "Scaffold23_652094"
"1025" "L12" "SCFLD23" 723977 "Scaffold23" "Scaffold23_723977"
"1026" "L12" "SCFLD78" 1416081 "Scaffold78" "Scaffold78_1416081"
"1027" "L12" "SCFLD78" 1540683 "Scaffold78" "Scaffold78_1540683"
"1028" "L12" "SCFLD78" 1868366 "Scaffold78" "Scaffold78_1868366"
"1029" "L12" "SCFLD78" 2020405 "Scaffold78" "Scaffold78_2020405"
"1030" "L12" "SCFLD78" 2043645 "Scaffold78" "Scaffold78_2043645"
"1031" "L12" "SCFLD78" 2561794 "Scaffold78" "Scaffold78_2561794"
"1032" "L12" "SCFLD78" 2616292 "Scaffold78" "Scaffold78_2616292"
"1033" "L12" "SCFLD78" 3290202 "Scaffold78" "Scaffold78_3290202"
"1034" "L12" "SCFLD78" 3415205 "Scaffold78" "Scaffold78_3415205"
"1035" "L12" "SCFLD78" 351784 "Scaffold78" "Scaffold78_351784"
"1036" "L12" "SCFLD78" 373947 "Scaffold78" "Scaffold78_373947"
"1037" "L12" "SCFLD78" 3760016 "Scaffold78" "Scaffold78_3760016"
"1038" "L12" "SCFLD78" 3817324 "Scaffold78" "Scaffold78_3817324"
"1039" "L12" "SCFLD78" 3858125 "Scaffold78" "Scaffold78_3858125"
"1040" "L12" "SCFLD78" 3862532 "Scaffold78" "Scaffold78_3862532"
"1041" "L12" "SCFLD78" 448538 "Scaffold78" "Scaffold78_448538"
"1042" "L12" "SCFLD78" 448562 "Scaffold78" "Scaffold78_448562"
"1043" "L12" "SCFLD78" 609550 "Scaffold78" "Scaffold78_609550"
"1044" "L12" "SCFLD78" 859577 "Scaffold78" "Scaffold78_859577"
"1045" "L12" "SCFLD9863" 1547440 "Scaffold9863" "Scaffold9863_1547440"
"1046" "L12" "SCFLD9863" 1665710 "Scaffold9863" "Scaffold9863_1665710"
"1047" "L12" "SCFLD9863" 1665741 "Scaffold9863" "Scaffold9863_1665741"
"1048" "L12" "SCFLD9863" 1886629 "Scaffold9863" "Scaffold9863_1886629"
"1049" "L12" "SCFLD9863" 1886776 "Scaffold9863" "Scaffold9863_1886776"
"1050" "L12" "SCFLD9863" 1960121 "Scaffold9863" "Scaffold9863_1960121"
"1051" "L12" "SCFLD9863" 1960272 "Scaffold9863" "Scaffold9863_1960272"
"1052" "L12" "SCFLD9863" 1960277 "Scaffold9863" "Scaffold9863_1960277"
"1053" "L12" "SCFLD9863" 1979469 "Scaffold9863" "Scaffold9863_1979469"
"1054" "L12" "SCFLD9863" 2298687 "Scaffold9863" "Scaffold9863_2298687"
"1055" "L12" "SCFLD9863" 2515550 "Scaffold9863" "Scaffold9863_2515550"
"1056" "L12" "SCFLD9863" 276025 "Scaffold9863" "Scaffold9863_276025"
"1057" "L12" "SCFLD9863" 276051 "Scaffold9863" "Scaffold9863_276051"
"1058" "L12" "SCFLD9863" 2855683 "Scaffold9863" "Scaffold9863_2855683"
"1059" "L12" "SCFLD9863" 448266 "Scaffold9863" "Scaffold9863_448266"
"1060" "L12" "SCFLD9863" 632005 "Scaffold9863" "Scaffold9863_632005"
"1061" "L12" "SCFLD9863" 632062 "Scaffold9863" "Scaffold9863_632062"
"1062" "L12" "SCFLD9863" 79650 "Scaffold9863" "Scaffold9863_79650"
"1063" "L12" "SCFLD9863" 96848 "Scaffold9863" "Scaffold9863_96848"
"1064" "L12" "SCFLD9863" 96951 "Scaffold9863" "Scaffold9863_96951"
"1065" "L12" "SCFLD9876" 1239345 "Scaffold9876" "Scaffold9876_1239345"
"1066" "L12" "SCFLD9876" 1240917 "Scaffold9876" "Scaffold9876_1240917"
"1067" "L12" "SCFLD9876" 1325358 "Scaffold9876" "Scaffold9876_1325358"
"1068" "L12" "SCFLD9876" 1333170 "Scaffold9876" "Scaffold9876_1333170"
"1069" "L12" "SCFLD9876" 136179 "Scaffold9876" "Scaffold9876_136179"
"1070" "L12" "SCFLD9876" 1407069 "Scaffold9876" "Scaffold9876_1407069"
"1071" "L12" "SCFLD9876" 1407093 "Scaffold9876" "Scaffold9876_1407093"
"1072" "L12" "SCFLD9876" 1676418 "Scaffold9876" "Scaffold9876_1676418"
"1073" "L12" "SCFLD9876" 1893972 "Scaffold9876" "Scaffold9876_1893972"
"1074" "L12" "SCFLD9876" 2031777 "Scaffold9876" "Scaffold9876_2031777"
"1075" "L12" "SCFLD9876" 2088337 "Scaffold9876" "Scaffold9876_2088337"
"1076" "L12" "SCFLD9876" 209900 "Scaffold9876" "Scaffold9876_209900"
"1077" "L12" "SCFLD9876" 2142976 "Scaffold9876" "Scaffold9876_2142976"
"1078" "L12" "SCFLD9876" 219717 "Scaffold9876" "Scaffold9876_219717"
"1079" "L12" "SCFLD9876" 2224782 "Scaffold9876" "Scaffold9876_2224782"
"1080" "L12" "SCFLD9876" 2614580 "Scaffold9876" "Scaffold9876_2614580"
"1081" "L12" "SCFLD9876" 2629219 "Scaffold9876" "Scaffold9876_2629219"
"1082" "L12" "SCFLD9876" 2697824 "Scaffold9876" "Scaffold9876_2697824"
"1083" "L12" "SCFLD9876" 2741686 "Scaffold9876" "Scaffold9876_2741686"
"1084" "L12" "SCFLD9876" 2741705 "Scaffold9876" "Scaffold9876_2741705"
"1085" "L12" "SCFLD9876" 310080 "Scaffold9876" "Scaffold9876_310080"
"1086" "L12" "SCFLD9876" 351912 "Scaffold9876" "Scaffold9876_351912"
"1087" "L12" "SCFLD9876" 459591 "Scaffold9876" "Scaffold9876_459591"
"1088" "L12" "SCFLD9876" 459716 "Scaffold9876" "Scaffold9876_459716"
"1089" "L12" "SCFLD9876" 76614 "Scaffold9876" "Scaffold9876_76614"
"1090" "L12" "SCFLD9876" 841207 "Scaffold9876" "Scaffold9876_841207"
"1091" "L12" "SCFLD9876" 847327 "Scaffold9876" "Scaffold9876_847327"
"1092" "L12" "SCFLD9876" 869584 "Scaffold9876" "Scaffold9876_869584"
"1093" "L12" "SCFLD9876" 896670 "Scaffold9876" "Scaffold9876_896670"
"1094" "L12" "SCFLD9876" 944314 "Scaffold9876" "Scaffold9876_944314"
"1095" "L12" "SCFLD9876" 954883 "Scaffold9876" "Scaffold9876_954883"
"1096" "L12" "SCFLD9932" 1385031 "Scaffold9932" "Scaffold9932_1385031"
"1097" "L12" "SCFLD9932" 224719 "Scaffold9932" "Scaffold9932_224719"
"1098" "L12" "SCFLD9932" 402813 "Scaffold9932" "Scaffold9932_402813"
"1099" "L12" "SCFLD9932" 402840 "Scaffold9932" "Scaffold9932_402840"
"1100" "L12" "SCFLD9932" 46744 "Scaffold9932" "Scaffold9932_46744"
"1101" "L12" "SCFLD9932" 498184 "Scaffold9932" "Scaffold9932_498184"
"1102" "L12" "SCFLD9932" 503032 "Scaffold9932" "Scaffold9932_503032"
"1103" "L12" "SCFLD9932" 578577 "Scaffold9932" "Scaffold9932_578577"
"1104" "L12" "SCFLD9932" 627820 "Scaffold9932" "Scaffold9932_627820"
"1105" "L12" "SCFLD9932" 799064 "Scaffold9932" "Scaffold9932_799064"
"1106" "L12" "SCFLD9932" 899894 "Scaffold9932" "Scaffold9932_899894"
"1107" "L12" "SCFLD9932" 909258 "Scaffold9932" "Scaffold9932_909258"
"1108" "L12" "SCFLD9932" 917951 "Scaffold9932" "Scaffold9932_917951"
"1109" "L12" "SCFLD9948" 101502 "Scaffold9948" "Scaffold9948_101502"
"1110" "L12" "SCFLD9948" 1133174 "Scaffold9948" "Scaffold9948_1133174"
"1111" "L12" "SCFLD9948" 1186632 "Scaffold9948" "Scaffold9948_1186632"
"1112" "L12" "SCFLD9948" 1210379 "Scaffold9948" "Scaffold9948_1210379"
"1113" "L12" "SCFLD9948" 1292941 "Scaffold9948" "Scaffold9948_1292941"
"1114" "L12" "SCFLD9948" 1369514 "Scaffold9948" "Scaffold9948_1369514"
"1115" "L12" "SCFLD9948" 1595489 "Scaffold9948" "Scaffold9948_1595489"
"1116" "L12" "SCFLD9948" 1614148 "Scaffold9948" "Scaffold9948_1614148"
"1117" "L12" "SCFLD9948" 19434 "Scaffold9948" "Scaffold9948_19434"
"1118" "L12" "SCFLD9948" 19532 "Scaffold9948" "Scaffold9948_19532"
"1119" "L12" "SCFLD9948" 378197 "Scaffold9948" "Scaffold9948_378197"
"1120" "L12" "SCFLD9948" 417941 "Scaffold9948" "Scaffold9948_417941"
"1121" "L12" "SCFLD9948" 784653 "Scaffold9948" "Scaffold9948_784653"
"1122" "L12" "SCFLD9948" 784668 "Scaffold9948" "Scaffold9948_784668"
"1123" "L12" "SCFLD9975" 1011762 "Scaffold9975" "Scaffold9975_1011762"
"1124" "L12" "SCFLD9975" 1185415 "Scaffold9975" "Scaffold9975_1185415"
"1125" "L12" "SCFLD9975" 1185515 "Scaffold9975" "Scaffold9975_1185515"
"1126" "L12" "SCFLD9975" 1185548 "Scaffold9975" "Scaffold9975_1185548"
"1127" "L12" "SCFLD9975" 1351453 "Scaffold9975" "Scaffold9975_1351453"
"1128" "L12" "SCFLD9975" 1422353 "Scaffold9975" "Scaffold9975_1422353"
"1129" "L12" "SCFLD9975" 1422481 "Scaffold9975" "Scaffold9975_1422481"
"1130" "L12" "SCFLD9975" 1456249 "Scaffold9975" "Scaffold9975_1456249"
"1131" "L12" "SCFLD9975" 1611967 "Scaffold9975" "Scaffold9975_1611967"
"1132" "L12" "SCFLD9975" 1612067 "Scaffold9975" "Scaffold9975_1612067"
"1133" "L12" "SCFLD9975" 201162 "Scaffold9975" "Scaffold9975_201162"
"1134" "L12" "SCFLD9975" 43041 "Scaffold9975" "Scaffold9975_43041"
"1135" "L12" "SCFLD9975" 580200 "Scaffold9975" "Scaffold9975_580200"
"1136" "L12" "SCFLD9975" 699244 "Scaffold9975" "Scaffold9975_699244"
"1137" "L12" "SCFLD9975" 728110 "Scaffold9975" "Scaffold9975_728110"
"1138" "L12" "SCFLD9975" 911690 "Scaffold9975" "Scaffold9975_911690"
"1139" "L12" "SCFLD9982" 1037359 "Scaffold9982" "Scaffold9982_1037359"
"1140" "L12" "SCFLD9982" 1170813 "Scaffold9982" "Scaffold9982_1170813"
"1141" "L12" "SCFLD9982" 1170944 "Scaffold9982" "Scaffold9982_1170944"
"1142" "L12" "SCFLD9982" 1250506 "Scaffold9982" "Scaffold9982_1250506"
"1143" "L12" "SCFLD9982" 1250639 "Scaffold9982" "Scaffold9982_1250639"
"1144" "L12" "SCFLD9982" 1254139 "Scaffold9982" "Scaffold9982_1254139"
"1145" "L12" "SCFLD9982" 1297546 "Scaffold9982" "Scaffold9982_1297546"
"1146" "L12" "SCFLD9982" 1297707 "Scaffold9982" "Scaffold9982_1297707"
"1147" "L12" "SCFLD9982" 1305170 "Scaffold9982" "Scaffold9982_1305170"
"1148" "L12" "SCFLD9982" 1305225 "Scaffold9982" "Scaffold9982_1305225"
"1149" "L12" "SCFLD9982" 1305249 "Scaffold9982" "Scaffold9982_1305249"
"1150" "L12" "SCFLD9982" 1390981 "Scaffold9982" "Scaffold9982_1390981"
"1151" "L12" "SCFLD9982" 1465671 "Scaffold9982" "Scaffold9982_1465671"
"1152" "L12" "SCFLD9982" 1522237 "Scaffold9982" "Scaffold9982_1522237"
"1153" "L12" "SCFLD9982" 1522279 "Scaffold9982" "Scaffold9982_1522279"
"1154" "L12" "SCFLD9982" 543967 "Scaffold9982" "Scaffold9982_543967"
"1155" "L12" "SCFLD9982" 558765 "Scaffold9982" "Scaffold9982_558765"
"1156" "L12" "SCFLD9982" 622226 "Scaffold9982" "Scaffold9982_622226"
"1157" "L12" "SCFLD9982" 648335 "Scaffold9982" "Scaffold9982_648335"
"1158" "L12" "SCFLD9982" 728461 "Scaffold9982" "Scaffold9982_728461"
"1159" "L12" "SCFLD9982" 737124 "Scaffold9982" "Scaffold9982_737124"
"1160" "L12" "SCFLD9982" 992039 "Scaffold9982" "Scaffold9982_992039"
"1161" "L13" "SCFLD10013" 1096482 "Scaffold10013" "Scaffold10013_1096482"
"1162" "L13" "SCFLD10013" 1222123 "Scaffold10013" "Scaffold10013_1222123"
"1163" "L13" "SCFLD10013" 1290152 "Scaffold10013" "Scaffold10013_1290152"
"1164" "L13" "SCFLD10013" 339024 "Scaffold10013" "Scaffold10013_339024"
"1165" "L13" "SCFLD10013" 430906 "Scaffold10013" "Scaffold10013_430906"
"1166" "L13" "SCFLD10013" 460276 "Scaffold10013" "Scaffold10013_460276"
"1167" "L13" "SCFLD109" 121906 "Scaffold109" "Scaffold109_121906"
"1168" "L13" "SCFLD109" 178267 "Scaffold109" "Scaffold109_178267"
"1169" "L13" "SCFLD109" 440089 "Scaffold109" "Scaffold109_440089"
"1170" "L13" "SCFLD109" 510842 "Scaffold109" "Scaffold109_510842"
"1171" "L13" "SCFLD109" 586168 "Scaffold109" "Scaffold109_586168"
"1172" "L13" "SCFLD114" 134654 "Scaffold114" "Scaffold114_134654"
"1173" "L13" "SCFLD114" 177166 "Scaffold114" "Scaffold114_177166"
"1174" "L13" "SCFLD114" 356960 "Scaffold114" "Scaffold114_356960"
"1175" "L13" "SCFLD114" 92071 "Scaffold114" "Scaffold114_92071"
"1176" "L13" "SCFLD1379" 25581 "Scaffold1379" "Scaffold1379_25581"
"1177" "L13" "SCFLD1379" 25609 "Scaffold1379" "Scaffold1379_25609"
"1178" "L13" "SCFLD1379" 25639 "Scaffold1379" "Scaffold1379_25639"
"1179" "L13" "SCFLD1959" 5237 "Scaffold1959" "Scaffold1959_5237"
"1180" "L13" "SCFLD202" 223225 "Scaffold202" "Scaffold202_223225"
"1181" "L13" "SCFLD202" 281522 "Scaffold202" "Scaffold202_281522"
"1182" "L13" "SCFLD2170" 16503 "Scaffold2170" "Scaffold2170_16503"
"1183" "L13" "SCFLD236" 237218 "Scaffold236" "Scaffold236_237218"
"1184" "L13" "SCFLD236" 354994 "Scaffold236" "Scaffold236_354994"
"1185" "L13" "SCFLD236" 406169 "Scaffold236" "Scaffold236_406169"
"1186" "L13" "SCFLD236" 50082 "Scaffold236" "Scaffold236_50082"
"1187" "L13" "SCFLD236" 50177 "Scaffold236" "Scaffold236_50177"
"1188" "L13" "SCFLD236" 50209 "Scaffold236" "Scaffold236_50209"
"1189" "L13" "SCFLD236" 70488 "Scaffold236" "Scaffold236_70488"
"1190" "L13" "SCFLD2497" 11585 "Scaffold2497" "Scaffold2497_11585"
"1191" "L13" "SCFLD2497" 11598 "Scaffold2497" "Scaffold2497_11598"
"1192" "L13" "SCFLD2497" 9199 "Scaffold2497" "Scaffold2497_9199"
"1193" "L13" "SCFLD250" 314203 "Scaffold250" "Scaffold250_314203"
